编号,岗位名称,岗位要求
211,人力资源总监（VC投资企业）（新能源科技领域）,"岗位职责：

1、参与公司经营战略规划和年度经营计划，全面统筹规划专业公司人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；

2、建立并完善公司企业人力资源管理体系，研究、设计区域事业部人力资源管控模式（包含招聘、选拔、培训、绩效考核、薪酬、及员工发展等体系的全面建设）；

3、向集团决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；

4、负责公司的整体企业文化建设、实施及处理人力资源管理中重大问题；

5、统筹公司行政后勤事务工作的年度规划及实施；保障公司后勤工作有序开展；

6、全面负责公司对外政府事务协调及相关接待工作；

 任职要求：
1、35岁—45岁，学历：大学本科及以上学历，人力资源管理、工商管理、行政类专业优先；

2、知名企业，三年以上人力资源总监及以上岗位经验；

3、对现代企业人力资源管理模式有系统的了解和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，能够指导各个职能模块的工作；

4、善于激励和团队管理，为人正直、原则性强，具有较强的领导力、判断决策能力、计划与执行能力；
"
,,
212,人力资源总监（金融行业）,"岗位职责：
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度，包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；

职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验，要有大金融行业集团层面工作经验；
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
213,人力资源部总监(能源.建材),"工作职责：
1、根据事业部战略经营规划，制定事业部人力资源战略规划， 
2、负责建立事业部人力资源业务标准化体系、制度和流程
3、负责事业部招聘、培训、绩效、薪酬福利、员工关系等模块的职能管理与指导
4、负责监控事业部各业务部门进行人力资源业务管理，并给予专业建议
5、指导、培养人力资源队伍，提高团队专业能力，建立和谐高效组织
任职要求：
1、建筑材料, 化工，新能源或制造业行业背景，愿回长沙长期发展优先；
2、32--45周岁，本科以上学历，专业不限，人力资源管理师（或其他中级水平）职称优先 
3、3年以上人力资源全面管理的经验，能快速组建人才队伍.
"
,,
214,人力资源总监,"岗位职责：

1、根据公司发展需求，及时进行人员招聘和人才储备，编制年度人员招聘计划；

2、建立和完善公司的招聘流程和招聘体系；

3、开发、维护、评估、分析各招聘渠道；

4、完成上级领导授临时安排的其他工作事项。

任职资格：

1、25-40岁，本科以上学历；

2、5年以上人力资源管理工作经验，3年以上地产开发公司同等岗位工作经验；

3、具备扎实的招聘经验和管理经验；

4、思维敏捷，有创新精神，具有较强的抗压能力。"
,,
215,集团人力资源总监,"HRBP一把手（金融）
岗位职责：
1、与所负责下属业务部门建立业务伙伴关系，负责人力资源业务在各部门的开展；
2、组织管理实施招聘、培训和绩效工作；
3、负责进行团队建设规划，营造良好的员工关系；
4、贯彻与推行集团总部的各项人力资源政策，确保人力资源管理工作绩效的同步实现。"
,,
216,人力资源总监,"岗位职责：
1.根据公司战略发展，统筹和规划企业人力资源整体运作，制订适合公司的人力资源政策；
2.组织制订人力成本计划，按职能对各部门进行定岗定员，严格控制人力成本；
3.制订人力资源年度工作计划与目标并实施；
4.制定人事管理制度、招聘体系、员工培训体系，优化薪酬福利体系，并针对不同部门员工建立绩效评价体系；
5.组织企业进行工作分析，职务测评与组织架构评估，制订岗位职责说明书，使其符合企业中长期战略规划；
6.保障企业关键岗位人才供给与培养，为中基层管理和技术岗位提供保障；
职位要求：
1.人力资源专业或企业管理专业本科或以上学历；
2.7年以上企业人力资源从业经验，3年以上人力资源部经理工作经历；
3.精通现代人力资源管理理论，对人力资源各领域工作内容熟悉，具有企业战略规划及人力规划善于人力成本控制及风险管理；
4.熟悉国家相关的政策，法律法规；
5.具有良好的职业道德，为人正直，有责任心。精力充沛，有较好的人际交往能力，团队组织能力、执行力和沟通能力，能承受较大的工作压力；
6.有一线或者A轮以上互联网科技公司人事管理经验优先。"
,,
217,人力资源总监,"工作职责：
集团事业部人力资源总负责人；
全面负责所负责领域或单元人力资源管理工作。

工作要求：
1、10年以上规模企业人力资源管理经验，至少5年以上管理经验；
2、具有HR三支柱工作背景，对快速发展的业务和三支柱的理解较为深刻。"
